"UUID","Context","Default","Translated","Notes"
"016915e5786e4031aefd7ceba05625d3","kaidan_chapter_01","Voice: Kaidan? Kaidan!","",""
"4cf8076ae35a4f7c95f66b195701a588","kaidan_chapter_01","The knocking repeats itself before the room falls silent once again. The Yolen quickly discovers some of the abilities of this host - sight, sound, touch, smell. It seems like a lot to process, but the host, known as Kaidan, seems quite content on not actually moving.","",""
"f2b2135c484e4981bb3ee0b3501260a3","kaidan_chapter_01","Quiet breathing, closed eyes, it is not immediately clear that the process of Ethereal Transference was a success.","",""
"823cac9e97b2444e90d7ccccf656f71f","kaidan_chapter_01","Voice: Son? I don't hear you getting ready!","",""
"5dafe2cf031c48c1940f824b8e7f148a","kaidan_chapter_01","The deep booming voice of a father makes the brown eyes of Kaidan open, and causes him to yawn. He stretches in bed, forcing himself to sit up, his bare chest exposed. In this position, he pauses, and takes a moment to survey the surroundings.","",""
"c91e7568661b48a3b64a232b5fcf8982","kaidan_chapter_01.bedroom_pre_ikis","Kaidan's bedroom is narrow, with a few tables along the walls, shelving featuring an array of books, a small wardrobe in the corner, and an open window allowing warm sunlight inside. On the tables are various plants dotted around, some with flowers, others bearing fruit. Some glass apparatus stand in-between different flora.","",""
"789e2e6fc8c74585910fbb66422986a3","kaidan_chapter_01.bedroom_pre_ikis.choices","Get out of bed","",""
"000a58b39a824cd694170ae2a3bd7fd4","kaidan_chapter_01.bedroom_pre_ikis.choices","Sit still","",""
"1162c38c06844b538a085437cb69abaf","kaidan_chapter_01.bedroom_pre_ikis.choices","Lie down","",""
"436845a882d746f8945208eb486a4242","kaidan_chapter_01.bedroom_pre_ikis.choices","Snooze","",""
"7eb19486b95e4b2ea6726cb077bcf5af","kaidan_chapter_01.bedroom_pre_ikis.c-0","Kaidan shuffles to the edge of the bed and stands at its side. The sunlight from the window brightens his bare skin, aside from the long, black hair that cascades down his back. While the sunlight it warm, a cold wind blows in the window making him shiver.","",""
"ec9d452bf0cd4ec08f34be2221929165","kaidan_chapter_01.bedroom_pre_ikis.c-0.choices","Open wardrobe","",""
"f643b2d28b324f289ba4f0e2233ee7d2","kaidan_chapter_01.bedroom_pre_ikis.c-0.choices","Return to bed","",""
"b025333a603d4146b7b692ed67d839da","kaidan_chapter_01.bedroom_pre_ikis.c-0.c-1","It seems that the prospect of what is to come is too much for Kaidan, and he returns to the bed. At least the warm bedclothes prevent the cold wind making it worse.","",""
"aa6fd75949a344f2b831cd6eab412f38","kaidan_chapter_01.bedroom_pre_ikis.c-1","Kaidan ","",""
"a9a3d437a29f40308a7b99c02379a389","kaidan_chapter_01.bedroom_pre_ikis.c-1.s1","still","",""
"d9115dd4a0084fb29521c3f4b9d89f75","kaidan_chapter_01.bedroom_pre_ikis.c-1"," does not move and ","",""
"2ea1ea2f329b4dc6b689cb5578707116","kaidan_chapter_01.bedroom_pre_ikis.c-1.s0","looks","",""
"dde66f9e27e84d5aa5b00799fca841fa","kaidan_chapter_01.bedroom_pre_ikis.c-1.s1","instead continues to gaze","",""
"c2d3a66cae7f4bd28c0333e48107fd56","kaidan_chapter_01.bedroom_pre_ikis.c-1"," around the room.","",""
"32bccdaccd214c87a9e5104cc6078b9b","kaidan_chapter_01.bedroom_pre_ikis.c-1.s0","Various books, plants and diagrams adorn the walls and tables, with hand-written notes all over the place.","",""
"7f59c3ecb87e4e5ea94260fa257d1d90","kaidan_chapter_01.bedroom_pre_ikis.c-1.s1","Perhaps the Yolen is still getting used to being in control of a physical body?","",""
"fd7003d87ba040e3875e17a1ec3f22ba","kaidan_chapter_01.bedroom_pre_ikis.c-2","It appears to become too much for Kaidan as he returns to lying down in the bed, pulling the bedclothes up once again. He lies there with eyes open.","",""
"f0fa17b57c96482d882be4d789850f11","kaidan_chapter_01.bedroom_pre_ikis.c-3","Kaidan closes his eyes and begins to drift off into another slumber. It really does not seem like there is anything pressing that deserves his attention.","",""
"8a981215e77c4e6ab47fbbd2da7c05b6","kaidan_chapter_01.bedroom_pre_ikis.wear_clothes","Opening the wardrobe, inside are a collection of similar robes and jackets, among a collection of undergarments and sundries. Realising that these might offer protection from the cool breeze, he quickly dons a red-coloured robe, shirt and underwear.","",""
"d357cb940aed46cb90f5ae0128444d07","kaidan_chapter_01.bedroom_pre_ikis.wear_clothes","As the door on the wardrobe closes, the knocking on the door returns and becomes increasingly frantic.","",""
"b551ce62de83497eb5f222c79fbd2ccb","kaidan_chapter_01.bedroom_pre_ikis.wear_clothes","Voice: Hurry up, Kaidan! You're going to be late... and so am I!","",""
"d039f1f8d3324188bbb7a5b32dc106ac","kaidan_chapter_01.bedroom_pre_ikis.wear_clothes.choices","Shout an apology","",""
"2dadc98af9694091b421188b3ea0baa9","kaidan_chapter_01.bedroom_pre_ikis.wear_clothes.choices","Sigh loudly","",""
"2731ced8baf74b61b10615e3a9d762b1","kaidan_chapter_01.bedroom_pre_ikis.wear_clothes.choices","Utter a grunt","",""
"c6cbf6addb914fdaa8e0a13ead6911ea","kaidan_chapter_01.bedroom_pre_ikis.wear_clothes.choices","Stay silent","",""
"4f00113f59cb4a05826f0aba303941c2","kaidan_chapter_01.bedroom_pre_ikis.wear_clothes.c-4","Kaidan attempts to yell back an apologetic response, but it seems speaking is a new concept to the Yolen. Not able to accurately articulate, instead of a pleasant apology becomes a guttural sound that quickly transforms into coughing. It is an experience for the Yolen, and learning how to use a host for the first time is bound to have teething difficulties.","",""
"b003b732332c4cacaa4ce8e7acea577c","kaidan_chapter_01.bedroom_pre_ikis.wear_clothes.c-5","Kaidan lets out a sharp breath, with the intention of the heavy-handed sigh being heard from the other side of the door. The sudden expelling of air is an experience for the Yolen, but it certainly makes them more confident about how breathing works in this host.","",""
"780f740cf3b041949aeb01e846d50a5c","kaidan_chapter_01.bedroom_pre_ikis.wear_clothes.c-5","Voice: We don't have time to argue!","",""
"e3a7a883a1da4399b1c1b9c22217fc98","kaidan_chapter_01.bedroom_pre_ikis.wear_clothes.c-6","Kaidan grunts with a neutral sounding tone, conferring whether or not he wants to agree with his father's wishes.","",""
"ebc563225d9c4db3a6cc23c57fcc31be","kaidan_chapter_01.bedroom_pre_ikis.wear_clothes.c-7","Without moving or making a sound, Kaidan does not react to his father's statement. It is an awkward pause.","",""
"82fda84b87504705babacba7fb52ea77","kaidan_chapter_01.bedroom_pre_ikis.wear_clothes.c-7","Voice: Kaidan! I don't have time for these games. And nor do you.","",""
"3148122b8bfc44a0a91aba7273093633","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.s0.b","Despite the protests","",""
"7c762db95cef490ebf6018633e18b14b","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.s0.b","Nonetheless","",""
"ed0a04752d69498398180ab2ad509156","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.s0",", the father retreats from the door.","",""
"f4e1a17e85b84e8b99f42b9ea30c4d7f","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.s0","Around the small bedroom, there are several tightly-packed points of interest. Kaidan looks up at rows of shelving that contain several books. With words written on the side, it is something that the Yolen becomes curious with: written language. Kaidan gazes at the spines on the books, and they eventually become clearer and he is surprised to understand what it reads.","",""
"019c8acd72a84335a05a794b427aeeea","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.choices","Inspect shelves","",""
"9771ad8d4f024a0a9db243e45fcf6a03","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.choices","Inspect table in corner","",""
"4abea96ef8e1459a809662da058c51e8","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.choices","Inspect table near window","",""
"30be340d44af4efd980d7fc594ea4c74","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.choices","Open door","",""
"7d9feafd070f4dfc8d64eadb81a2ae01","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-8","Various lengths of shelving along the walls hold up a sizeable collection of books. Some are much older than others, and some look like they have not moved from their position for some time. They are all hard-bound, with little to distinguish between most of them.","",""
"1beb846a3ae14ee18f33d3e6d3311e9d","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-8","Kaidan reaches for one on the end of the nearest shelf. It is well used, and much larger than other books. He stares at the front cover for a moment as the written language makes sense.","",""
"b09f6a137849428cb9b96a0282ef5ec7","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-8","Inside, among what looks like complicated writings, several diagrams stand out. They demonstrate dissections of plants, showing in detail how the plants grow, what fruit they bear, and the colour of flowers.","",""
"9a37446f9fae4867b772d9e8532a7598","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-8","Based on the titles shown on each book's spine, Kaidan sees that the other books on the shelf also discuss plant life, some more specific than others.","",""
"c1b3e04ab45f447694f4fe74c64d6b73","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-8","It would seem Kaidan is very interested in how plants work.","",""
"a38ef57d6f424ba693ea5337ab07487e","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9","Across the opposite wall to the bed is a long table that is well used and a little uneven. Stacked upon it are various glass containers in all shapes and sizes, a collection of magnifying glasses, a dirty glass sheet and several small knives.","",""
"b3a7d190d38448c89bb621d36e5a273a","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9","Towards the window-end of the table, plants grow inside different pots, all with different heights, shades of green and the occasional flower. Some of these plants bear quantities of small, hanging fruit in different colours.","",""
"bfd6345e344447afbd03c261e2410166","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.choices","Inspect glass sheet","",""
"82906c8a2b824af39f722d51edc71224","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.choices","Inspect plants","",""
"9b1ad949abf84425b50c55d4d07f2035","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.choices","Inspect something else","",""
"40e630887db74ecab62a09dd4a65fc6c","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-0","Kaidan looks at the glass sheet on the corner table. It is in need of a clean with pieces of plant matter dried on its surface. There are also small dents and scratches on the glass, possibly caused by one of the small blades resting next to the sheet.","",""
"1071502a4d6d47a8b408e1e684f71077","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1","As Kaidan moves to look at the various plants on the end of the corner table, he is taken aback slightly, unprepared for smells emitted by the plants.","",""
"fd2cff2671894a428cc028b9fc3b4372","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1","It is not immediately clear to the purpose of why there are so many different types of plant, but most of them bear some kind of fruit.","",""
"daec5e5059aa48f1bad3207f7271169e","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.choices","Pick a random seed","",""
"293aae2ee6844b9a822b8e22196fcd63","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.choices","Sniff the smells","",""
"af418d65f4fa4746b2525efbd2fcb2ff","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.choices","Something else","",""
"6fced5d6729e495bb80d8a61c9350c6c","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0","Using both hands, Kaidan removes a ","",""
"9fa0022673264120b082bc07010d723b","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0.s0","bulbous","",""
"6ca7f7223b91441fa093ea8dc13d97dd","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0.s1","round","",""
"2c682ccf1b65400c86a01776a1d3baab","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0.s2","small","",""
"063b04fba1324b5aa5ed28a68b8241c5","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0.s3","coloured","",""
"0c6ef7256dee4284aaded194af922f4e","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0"," seed from one of the plants. It is ","",""
"3cf9f764cab54bff8dc68ddb5ee0872c","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0.s0","soft","",""
"628e8cd29e094cc69b650d8f4052aa29","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0.s1","tough","",""
"f55e3d4288444b5589eecfca3dbc90e1","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0.s2","brittle","",""
"99f821d54a534cdd879d22d53a02bf0c","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0.s3","shell-like","",""
"549fb0b8bc7c4af6bb4829b377194475","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0"," to the touch and feels ","",""
"b7a25322bc8b4c018388c482e419fb1c","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0.s0","wet","",""
"3d896b13e72a4025b3b4d5d791397dd7","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0.s1","dry","",""
"95373eb308fb430190b4d3dea40f09d7","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0.s2","sticky","",""
"d77fe0c00dbf41c8a17469199b6a3515","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0","Holding the seed, Kaidan looks at it intently but is unsure what to do with it afterwards, placing it down onto the glass sheet. ","",""
"7da41acc3b7046c5b9f472baa629b8fd","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-0.b","There must be a reason for collecting all of these seeds.","",""
"f98b2941e08449fca731916e283e69cc","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-1","Despite being repelled before, Kaidan moves his head into the heads of the plants and inhales. The combined smells of the different flora seems to be overwhelming as he jolts back and starts coughing.","",""
"c567d9b88d6d4924a1162fd28b235b5a","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-9.c-1.c-1","As he regains his composure, the coughing is loud enough to attract the attention of his father.","",""
"6763810b442a4e4690bc396fc36b4f9a","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-10","Moving over towards the table near the window, aside from a few more plants, a collection of papers and writing pens are the centre of attention. There is a well-worn small seat in front of the table.","",""
"16f02c93208949de9b7ef623d284b575","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-10.choices","Sit at the table","",""
"07d115582518401aba4ef59ead43d3dd","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-10.choices","Inspect something else","",""
"167b7be61fd242268d13d5a1c13977f2","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-10.c-0.s0","Kaidan carefully sits on what seems to be quite a rickety, wooden chair. In front of him, there are piles of papers alongside pens, and he takes a moment to look at the pages.","",""
"7c88d522acc144adb8e622af25fbdeeb","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-10.c-0.choices","Look at small pile","",""
"429d48c34d3b45ffa0ec844ac5487ad1","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-10.c-0.choices","Look at large pile","",""
"c676c4b0d43a485592d7acb81764702c","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-10.c-0.choices","Stand up","",""
"cffb86e5b17c4eefa520be95efb381a1","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-10.c-0.c-0","As Kaidan scans down the small pile of papers, the handwriting looks to be written in some haste, making the words difficult to read. There are no diagrams, just short phrases, as if they were notes.","",""
"8391350c250e43b38664bd8ffb9cc01f","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-10.c-0.c-1","The handwriting in the large pile of papers is more neat, looking more like a serious piece of work. Reading down the pages, Kaidan can see it is not finished. Words talk about squashing plant seeds and mixing the resulting liquid with differing powered crystals.","",""
"786e37ae4e78461ca6a6cbbc218f49fe","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-10.c-0.c-1","There are hundreds of pages and it would take most of the day to read what is present, let alone, trying to understand its purpose. It is clear that it is work Kaidan has been producing for some time.","",""
"bf4a186ba6fa49068222783fd4b5fa1c","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-10.c-0.c-2","Kaidan carefully stands up from the table.","",""
"ddd4ba58a2264a569dac01026e3a711a","kaidan_chapter_01.bedroom_pre_ikis.inspect_items.c-11","Move into hallway, where is father awaits and opens the front door.","",""
"04664bb32c8044da87bda4139e126e93","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters","The door to the bedroom opens, without a knock, causing Kaidan to focus attention immediately on who enters. Kaidan's father forces his way inside, taller than his son, and more bulky.","",""
"b46f2ff37f6b476a8a364f3a7475972a","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters","Ikis: That's enough! We have to leave now!","",""
"90fb25448cd541dd9e71331279cf3a45","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters","He wears meticulously cleaned white robes, with a red flourish on the shoulders and a white, corner hat. A few chains drop down from his neck, a medallion quite prominent. He does not look happy.","",""
"38bfbf3932984dada6243216ebd8dfad","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters","Ikis: I am going to be late for an extremely important meeting at the Senate, and you are going to be late for your lectures!","",""
"0ccf61570ea34f65968456935599d062","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters","Kaidan nods, and they both leave the bedroom, heading outside.","",""
"f304baa0e9dc41ccaad7d2667d2546aa","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters","Kaidan's father stops dead in his tracks, and see that his son is still in bed. There is a pause, as he seems to be dumbfounded.","",""
"c1aa9eb01ad84d7e92409ccd0fa2ce45","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.choices","Yawn carelessly","",""
"432963aa82554fe7b18b60e1d5dc8f26","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.choices","Feign ignorance","",""
"cce8028868ed476495422a4d9aa0a70d","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.choices","Panic, rush to wardrobe","",""
"d10a166084db47bc9f9ff9278119c86d","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.choices","Scream","",""
"b91936dc0bb841b2a4479cc32c3234e2","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-12","Still in what seems like a dream-like state, Kaidan yawns and stretches his arms. As he sees his father standing at the end of his bed, it has a sobering effect and he freezes.","",""
"77c2cafc929a4dbebed27aa5f11fe6a2","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-12","Ikis: Get up. Now. I'm tired of your insubordination, Kaidan. You should really start caring about your future.","",""
"f479256f092e47b5b963f75b77de84d4","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-12","He turns around.","",""
"ade34d81aac640a0b2d67540a9ff947c","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-12","Ikis: I will wait outside. Come quickly.","",""
"582f3c6498d941cbb3de8257d1177ab5","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-13","Kaidan looks up at his waiting father with a surprised look.","",""
"bba0e86f80274ed39ffb746a5baee9c2","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-13","Kaidan: Oh, I'm sorry. I didn't realise it was so important.","",""
"9af9ae3704d04517a8a3c4d05cbea38e","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-13","He speaks genuinely, but there is a pause as his father contemplates a response. His thoughts accumulate to a sigh.","",""
"bfd82af6a0df4ba9bc72b6506f842af9","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-13","Ikis: Never mind. Just get up. I will wait for you outside. Come quickly.","",""
"188b87f94099490eb306573c02132052","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-13","A sense of urgency hits Kaidan as he gets up, and opens the wardrobe. ","",""
"f9a15eeeb5ff4fc09b4a24e1f4406c6a","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-14","Quickly realising he's made a mistake, Kaidan flies out of the bed and opens the wardrobe before his father can say anything.","",""
"5335ed7ee92546deaf04ac4d9887f431","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-14","Ikis: Hmm. I will wait for you outside.","",""
"d9427b9f078f4c819652a9aff8212149","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-14","As his father leaves, ","",""
"1142103045144db5b317a7479e9c55a6","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-15","It would seem Kaidan is taken completely by surprise, as he just screams at his father.","",""
"6970941a33c74ff4802f8b0107bd2144","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-15","Ikis: [shouting] Don't be ridiculous!","",""
"82857e9c71174b5dab47ca7ff5f98322","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-15","Kaidan calms down.","",""
"9f0bac2395bf4bb38f01d492edb8a25d","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-15","Ikis: What are you screaming at me for? I've been trying to wake you for what seems like an age!","",""
"d48f86f5de524e969c8282adf7d60269","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-15","Ikis: Honestly, what has gotten in to you, lately?","",""
"8e5893b4c98c4e6195e042cf8a4c15c6","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-15","He turns around and walks out the door.","",""
"dfd1ca51855b4b0d90b179b3108f1213","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-15","Ikis: Just get up. I will wait for you outside. Hurry up!","",""
"19f543457df24cee97b57316edfd535e","kaidan_chapter_01.bedroom_pre_ikis.ikis_enters.c-15","After that unfortunate experience, ","",""
"0ae1406d21994e78a74834c6ce25aace","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed","The bedroom door bursts open as Kaidan's father hurries inside to see his son recovering from inhaling spores.","",""
"7e8c2bed0e7e4765a199d7e611cb7ad9","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed","Ikis: What are you doing, son? Is everything all right?","",""
"98907696e0c7488ba5f36ca5be998caf","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.choices","Just enjoying the flowers","",""
"525b8a63295749be9eeaa0d407a13640","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.choices","Not sure","",""
"588cf06031ee4338ac1498adc8c7f747","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.choices","Question the plants","",""
"fd4b7118982b4db6afd19002d5519f24","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.c-16","Kaidan: I was just looking at these flowers and I think I got a bit too close.","",""
"93ba6412833b403ab923256c9ce68fd7","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.c-16","His father narrows his brow.","",""
"88d3a5eac5b0416ba982a9aab2f620fc","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.c-16","Ikis: I don't quite understand what you see in those things, but it seems the Institute is supportive of whatever it is you are trying to do.","",""
"d29e7611639b4e1caf7d797c2ef0de31","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.c-16","He sighs.","",""
"04cd2e3553e645049544541287914606","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.c-16","Ikis: But now is not the time. If you are ready, I'll just wait outside. Hurry up.","",""
"6fc9eb6e89994573aa071d7803b122d3","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.c-17","Kaidan: I think so, I'm not sure what I did.","",""
"473114435607411fbaa7b3931a7ff9ba","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.c-17","His father gives him a perplexed look, and turns around.","",""
"e147d778d003406290a75e8dd4dbfc63","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.c-17","Ikis: I'll just wait for you outside. Hurry up.","",""
"fcf1769486734576a5b504b78a75c818","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.c-18","Kaidan: Why are there so many plants in here?","",""
"851466eabc4743d980ac0cca92b2a3a5","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.c-18","His father looks concerned.","",""
"e28e62e1e31f4a1e99ec71d658c3a429","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.c-18","Ikis: Are you sure you are feeling all right, Kaidan?","",""
"85e0801723b04c51a1d2aa868690d658","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.c-18","Ikis: I ask myself the same question, but the Institute is supportive of your work, whatever it is.","",""
"c2cb0e8cc7f546d69dd72b2a1f9714d8","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.c-18","Ikis: I don't like having all these smelly plants all in the same place, but you're the one that insists.","",""
"d5e41f7551e547939b90a8c40a6e37df","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.c-18","His father turns around and walks out the door without saying anything.","",""
"ebcb4a468b744373976a0bd9f46d2d7d","kaidan_chapter_01.bedroom_pre_ikis.ikis_coughed.c-18","After a brief pause, Kaidan follows him outside.","",""
"a21464f00453418c9517b9db0cb787fb","kaidan_chapter_01.bedroom_pre_ikis.ikis_clothes_before_leaving","Kaidan quickly puts on undergarments and a red-coloured robe that hangs up inside his wardrobe. Without looking around his bedroom, he heads straight outside to meet his waiting father.","",""
"ee478dcf1df74432858489f74d6b3ae3","kaidan_chapter_01.bedroom_pre_ikis.ikis_clothes_before_leaving","Kaidan's father waits outside in a small garden, located at the front of their modest house. It is well-kept, with a waving path that leads down to a gate, various bushes and flower beds punctuate the lush grasses. The house itself has a thatched roof, exposed wooden beams and an altogether fine piece of craftsmanship. Everything about the quality suggests that the person responsible for it, knows all there is about it.","",""
"16b1eb864e6e4ad380d10e50936a652d","kaidan_chapter_01.bedroom_pre_ikis.ikis_clothes_before_leaving","Ikis: ","",""
